full_name,team,games_played,minutes,points,field_goals_made,field_goals_attempted,free_throws_made,free_throws_attempted,offensive_rebounds,defensive_rebounds,assists,steals,blocks,personal_fouls,turnovers,salary,points_p36,field_goals_made_p36,field_goals_attempted_p36,free_throws_made_p36,free_throws_attempted_p36,offensive_rebounds_p36,defensive_rebounds_p36,assists_p36,steals_p36,blocks_p36,personal_fouls_p36,turnovers_p36,game_score,value_score
Shake Milton,New York Knicks,57,836.277,315.0,115.0,254.0,47.0,59.0,31.0,73.0,102.0,25.0,4.0,67.0,40.0,552938,13.560100301694293,4.95051280855506,10.934176116286828,2.02325306088772,2.539828310476074,1.3344860614365814,3.1424994349958206,4.390889621501009,1.0761984366424042,0.17219174986278468,2.8842118102016436,1.721917498627847,10.951395291273105,19.805828666637314
Keon Ellis,Sacramento Kings,80,1948.19,666.0,227.0,464.0,73.0,86.0,60.0,152.0,120.0,121.0,63.0,176.0,71.0,683430,12.306807857549828,4.1946627382339505,8.574112381235917,1.3489444048065127,1.5891673810049327,1.1087214286080926,2.808760952473835,2.2174428572161853,2.235921547692987,1.1641575000384972,3.2522495239170714,1.3119870238529094,11.495593345618241,16.82044005328745
Trayce Jackson-Davis,Golden State Warriors,62,966.787,407.0,174.0,302.0,59.0,102.0,122.0,189.0,104.0,23.0,38.0,73.0,45.0,1119563,15.155354798937097,6.4791934521254415,11.245496681275194,2.196967894686213,3.7981478857287074,4.542882765283356,7.037744611791428,3.872621373684172,0.8564451114878459,1.4149962711538322,2.718282310374467,1.6756534789979594,16.320864885440123,14.577888770386412
Bismack Biyombo,Oklahoma City Thunder,28,527.487,144.0,67.0,114.0,10.0,25.0,43.0,115.0,31.0,16.0,23.0,52.0,27.0,754488,9.827730351648476,4.572624538614222,7.780286528388378,0.6824812744200331,1.7062031860500828,2.9346694800061424,7.848534655830381,2.115691950702103,1.091970039072053,1.5697069311660763,3.548902626984172,1.8426994409340895,10.619408629975712,14.074986785708601
Delon Wright,Miami Heat,40,634.497,125.0,45.0,131.0,15.0,25.0,27.0,39.0,77.0,35.0,12.0,25.0,22.0,661628,7.092232114572646,2.5532035612461526,7.432659256072133,0.8510678537487175,1.418446422914529,1.5319221367476914,2.2127764197466657,4.36881498257675,1.985824992080341,0.6808542829989741,1.418446422914529,1.2482328521647859,8.124861110454423,12.280104696981422
Mouhamed Gueye,Atlanta Hawks,33,532.757,197.0,72.0,171.0,32.0,42.0,44.0,95.0,27.0,28.0,33.0,55.0,15.0,1119563,13.311885155896592,4.865257518906368,11.554986607402626,2.162336675069497,2.838066886028715,2.973212928220559,6.419437004112569,1.8244715695898883,1.89204459068581,2.2299096961654192,3.716516160275698,1.013595316438827,13.136195301047193,11.733323896062297
Lindy Waters III,Oklahoma City Thunder,52,778.41,256.0,92.0,249.0,8.0,11.0,20.0,90.0,52.0,27.0,11.0,62.0,20.0,766095,11.839519019539832,4.254827147647127,11.515782171349288,0.36998496936061975,0.5087293328708522,0.9249624234015494,4.162330905306972,2.4049023008440282,1.2486992715920915,0.5087293328708522,2.867383512544803,0.9249624234015494,8.5374031679963,11.144052849837554
Jalen Wilson,Brooklyn Nets,79,2031.39,749.0,246.0,620.0,135.0,165.0,75.0,195.0,145.0,40.0,5.0,164.0,79.0,850000,13.27366975322316,4.359576447654069,10.987550396526515,2.3924504895662575,2.9241061539143147,1.329139160870143,3.4557618182623715,2.569669044348943,0.7088742191307429,0.08860927739134286,2.906384298436046,1.4000265827832175,9.087767489256125,10.691491163830735
Gui Santos,Golden State Warriors,56,761.523,227.0,82.0,179.0,29.0,42.0,72.0,100.0,80.0,25.0,10.0,91.0,42.0,1029483,10.731126965305053,3.876442339889931,8.461989985857288,1.3709369250830243,1.985494857016794,3.403705469171647,4.727368707182842,3.781894965746274,1.1818421767957106,0.47273687071828424,4.301905523536387,1.985494857016794,10.367119574851971,10.070219299252122
Toumani Camara,Portland Trail Blazers,78,2548.05,882.0,328.0,716.0,91.0,126.0,173.0,277.0,175.0,116.0,50.0,230.0,109.0,1119563,12.46129393065285,4.634131983281333,10.115971036675104,1.285689056337199,1.7801848472361217,2.4442220521575324,3.913580973685759,2.4724789544946133,1.638900335550715,0.7064225584270323,3.249543768764349,1.5400011773709306,10.94531112026844,9.77641376168062
Sandro Mamukelashvili,San Antonio Spurs,61,681.208,385.0,141.0,281.0,43.0,58.0,62.0,125.0,48.0,22.0,17.0,60.0,26.0,2019760,20.346208500193775,7.451468567603434,14.85008984040117,2.272433676645019,3.0651430987304904,3.276532277953283,6.605911850712265,2.5366701506735096,1.1626404857253585,0.898404011696868,3.170837688341887,1.374029664948151,17.81482307900084,8.820267298590345
Aaron Wiggins,Oklahoma City Thunder,76,1743.9,914.0,355.0,728.0,74.0,89.0,81.0,214.0,134.0,60.0,18.0,101.0,69.0,1836096,18.86805436091519,7.328401857904696,15.028384655083434,1.5276105281266126,1.8372613108549802,1.672114226733184,4.417684500258042,2.7662136590400825,1.2386031309134697,0.3715809392740409,2.084981937037674,1.4243936005504902,14.828143815585753,8.07590878450024
Craig Porter Jr.,Cleveland Cavaliers,51,513.265,188.0,72.0,140.0,23.0,32.0,19.0,48.0,71.0,17.0,15.0,25.0,38.0,1500000,13.186170886384227,5.05002289265779,9.8194889579457,1.6132017573767936,2.2444546189590175,1.3326449300069165,3.366681928438526,4.979883685815319,1.1923665163219779,1.0520881026370394,1.7534801710617325,2.665289860013833,12.070957497588964,8.047304998392642
Spencer Dinwiddie,Los Angeles Lakers,79,2136.08,872.0,284.0,682.0,195.0,243.0,18.0,191.0,349.0,70.0,17.0,121.0,102.0,1554654,14.696078798546871,4.786337590352422,11.493951537395604,3.2863937680236694,4.095352233998727,0.3033594247406464,3.218980562525748,5.881802179693644,1.179731096213625,0.28650612336616604,2.039249466312123,1.7190367401969966,12.382120519830718,7.964550645886942
Cam Thomas,Brooklyn Nets,25,781.157,599.0,199.0,454.0,133.0,151.0,15.0,68.0,94.0,15.0,2.0,44.0,62.0,2240160,27.60520612373697,9.17101171723482,20.922810651379937,6.129369640161965,6.958908388454562,0.6912822902438306,3.1338130491053655,4.332035685528005,0.6912822902438306,0.09217097203251075,2.0277613847152365,2.857300133007833,17.83969163689246,7.963579225096628
Ty Jerome,Cleveland Cavaliers,70,1392.4,878.0,319.0,618.0,129.0,148.0,50.0,123.0,237.0,78.0,3.0,102.0,92.0,2439025,22.700373455903474,8.247629991381785,15.978167193335247,3.3352484918126972,3.8264866417696064,1.292731973570813,3.1801206549842,6.127549554725654,2.016661878770468,0.07756391841424878,2.6371732260844585,2.378626831370296,19.403906923297903,7.955599849652178
Jabari Walker,Portland Trail Blazers,60,749.165,313.0,118.0,229.0,49.0,71.0,59.0,152.0,37.0,33.0,6.0,87.0,34.0,1719864,15.040745363170997,5.670312948415903,11.00425139989188,2.3546214785794852,3.4117984689621115,2.8351564742079516,7.304131933552689,1.7779794838253258,1.5857654855739391,0.28832099737707984,4.1806544619676576,1.6338189851367857,13.084967930963138,7.608141068690976
